Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Capasso-Ballesteros, IF; De la Rosa, F",,"Wang, D; Cadavid, AN; Liu, Y; Xu, M",,"Capasso-Ballesteros, Italo Felipe; De la Rosa, Fernando",,,Generating Automated Rules-Based Game Design Prototypes with MaruGen,2019 INTERNATIONAL CONFERENCE ON VIRTUAL REALITY AND VISUALIZATION (ICVRV),International Conference on Virtual Reality and Visualization,,,,International Conference on Virtual Reality and Visualization (ICVRV),"NOV 21-22, 2019","Hong Kong, HONG KONG","China Soc Image & Graph,China Comp Federat,China Simulat Federat,IEEE Comp Soc,Connected Universal Experiences Labs Inc,China Soc Image & Graph, VR Comm,China Comp Federat, VR & Visualizat Comm,China Syst Simulat Assoc, VR Comm",,,,,,,,,,"De la Rosa-Rosero, Fernando/0000-0002-9066-7225",,,,,,,,,,,,,2375-141X,,978-1-7281-4752-9,,,,2019,,,,,,,146,149,,10.1109/ICVRV47840.2019.00034,http://dx.doi.org/10.1109/ICVRV47840.2019.00034,,,,,,,,,,,,,WOS:000627828900026,View Full Record in Web of Science
J,"Moreno-Armendariz, MA; Calvo, H; Torres-Leon, JA; Duchanoy, CA",,,,"Moreno-Armendariz, Marco A.; Calvo, Hiram; Torres-Leon, Jose A.; Duchanoy, Carlos A.",,,IORand: A Procedural Videogame Level Generator Based on a Hybrid PCG Algorithm,APPLIED SCIENCES-BASEL,,,,,,,,,,,,,,,,,"Moreno Armendariz, Marco Antonio/GLU-2178-2022","Calvo, Hiram/0000-0003-2836-2102; Torres-Leon, Jose A./0000-0003-2704-0216; Duchanoy, Carlos/0000-0002-2734-7560; Moreno-Armendariz, Marco A./0000-0003-1028-9197",,,,,,,,,,,,,,2076-3417,,,,APR,2022,12,8,,,,,,,3792,10.3390/app12083792,http://dx.doi.org/10.3390/app12083792,,,,,,,,,,,,,WOS:000785534900001,View Full Record in Web of Science
J,"Chia, A",,,,"Chia, Aleena",,,The artist and the automaton in digital game production,CONVERGENCE-THE INTERNATIONAL JOURNAL OF RESEARCH INTO NEW MEDIA TECHNOLOGIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354-8565,1748-7382,,,,APR,2022,28,2,,,,,389,412,1.35486E+16,10.1177/13548565221076434,http://dx.doi.org/10.1177/13548565221076434,,FEB 2022,,,,,,,,,,,WOS:000763580000001,View Full Record in Web of Science
J,"Zafar, A; Mujtaba, H; Beg, O",,,,"Zafar, Adeel; Mujtaba, Hasan; Beg, Omer",,,Procedural Content Generation for General Video Game Level Generation,INTELIGENCIA ARTIFICIAL-IBEROAMERICAL JOURNAL OF ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137-3601,1988-3064,,,,DEC,2021,24,68,,,,,33,36,,10.4114/intartif.vol24iss68pp33-36,http://dx.doi.org/10.4114/intartif.vol24iss68pp33-36,,,,,,,,,,,,,WOS:000704324800003,View Full Record in Web of Science
C,"Frommel, J; Puschmann, D; Rogers, K; Weber, M",,,Assoc Comp Machinery,"Frommel, Julian; Puschmann, Dietmar; Rogers, Katja; Weber, Michael",,,Take Back Control: Effects of Player Influence on Procedural Level Generation,CHI PLAY'19: EXTENDED ABSTRACTS OF THE ANNUAL SYMPOSIUM ON COMPUTER-HUMAN INTERACTION IN PLAY,,,,,6th ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play (CHI PLAY),"OCT 22-25, 2019","Barcelona, SPAIN","ACM SIGCHI,Assoc Comp Machinery",,,,,,,,,,"Rogers, Katja/0000-0002-5958-3576; Frommel, Julian/0000-0001-8783-7783",,,,,,,,,,,,,,,978-1-4503-6871-1,,,,2019,,,,,,,371,378,,10.1145/3341215.3356288,http://dx.doi.org/10.1145/3341215.3356288,,,,,,,,,,,,,WOS:000518428000045,View Full Record in Web of Science
J,"Risi, S; Togelius, J",,,,"Risi, Sebastian; Togelius, Julian",,,Increasing generality in machine learning through procedural content generation,NATURE MACHINE INTELLIGENCE,,,,,,,,,,,,,,,,,,"Togelius, Julian/0000-0003-3128-4598; Risi, Sebastian/0000-0003-3607-8400",,,,,,,,,,,,,,2522-5839,,,,AUG,2020,2,8,,,,,428,436,,10.1038/s42256-020-0208-z,http://dx.doi.org/10.1038/s42256-020-0208-z,,,,,,,,,,,,,WOS:000567368700005,View Full Record in Web of Science
C,"Kim, Y; Choi, S",,,IEEE,"Kim, Yeonghun; Choi, Sunghee",,,Vision-based beatmap extraction in rhythm game toward platform-aware note generation,2021 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE CoG),"AUG 17-21, 2021",ELECTR NETWORK,IEEE,,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-6654-3886-5,,,,2021,,,,,,,901,905,,10.1109/COG52621.2021.9619108,http://dx.doi.org/10.1109/COG52621.2021.9619108,,,,,,,,,,,,,WOS:000842962500121,View Full Record in Web of Science
C,"Prager, RP; Troost, L; Bruggenjurgen, S; Melhart, D; Yannakakis, G; Preuss, M",,,IEEE,"Prager, Raphael Patrick; Troost, Laura; Brueggenjuergen, Simeon; Melhart, David; Yannakakis, Georgios; Preuss, Mike",,,An Experiment on Game Facet Combination,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,"Yannakakis, Georgios N./R-9213-2016","Yannakakis, Georgios N./0000-0001-7793-1450",,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300091,View Full Record in Web of Science
J,"Sifa, R; Yawar, R; Ramamurthy, R; Bauckhage, C; Kersting, K",,,,"Sifa, Rafet; Yawar, Raheel; Ramamurthy, Rajkumar; Bauckhage, Christian; Kersting, Kristian",,,Matrix- and Tensor Factorization for Game Content Recommendation,KUNSTLICHE INTELLIGENZ,,,,,,,,,,,,,,,,,"Bauckhage, Christian/M-7872-2014","Bauckhage, Christian/0000-0001-6615-2128",,,,,,,,,,,,,0933-1875,1610-1987,,,,MAR,2020,34,1,,,SI,,57,67,,10.1007/s13218-019-00620-2,http://dx.doi.org/10.1007/s13218-019-00620-2,,,,,,,,,,,,,WOS:000517069800007,View Full Record in Web of Science
C,"Kholimi, AS; Hamdani, A; Husniah, L",,"Yudhana, A; Zulfatman; Stiawan, D; Riyadi, MA; Subroto, IMI; Minarno, AE; Aditya, CSK",,"Kholimi, Ali Sofyan; Hamdani, Ahmad; Husniah, Lailatul",,,Automatic Game World Generation for Platformer Games Using Genetic Algorithm,"2018 5TH INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERING, COMPUTER SCIENCE AND INFORMATICS (EECSI 2018)",,,,,"5th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)","OCT 16-18, 2018","Univ Muhammadiyah Malang, Malang, INDONESIA","RISTEKDIKTI,IEEE Indonesia Sect,Univ Diponegoro,Univ Ahmad Dahlan,Univ Sriwijaya,Univ Islam Sultan Agung,Univ Gadjah Mada,Univ Budi Luhur,Univ Teknologi Malaysia,Inst Adv Engn & Sci, Indonesia Sect",Univ Muhammadiyah Malang,,,,,,,,"Husniah, Lailatul/AAD-1125-2021","Husniah, Lailatul/0000-0002-7856-1487",,,,,,,,,,,,,,,978-1-5386-8401-6,,,,2018,,,,,,,495,498,,,,,,,,,,,,,,,,WOS:000490546100066,View Full Record in Web of Science
C,"Bontrager, P; Togelius, J",,,IEEE,"Bontrager, Philip; Togelius, Julian",,,Learning to Generate Levels From Nothing,2021 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE CoG),"AUG 17-21, 2021",ELECTR NETWORK,IEEE,,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-6654-3886-5,,,,2021,,,,,,,760,767,,10.1109/COG52621.2021.9619131,http://dx.doi.org/10.1109/COG52621.2021.9619131,,,,,,,,,,,,,WOS:000842962500096,View Full Record in Web of Science
C,"Berwaldt, NLP; Bettker, RV; Pozzer, CT",,,IEEE,"Paetzhold Berwaldt, Natan Luiz; Bettker, Rafael Vales; Pozzer, Cesar Tadeu",,,Procedural Generation of Favela Layouts on Arbitrary Terrains,2020 19TH BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES 2020),Brazilian Symposium on Games and Digital Entertainment SBGAMES,,,,19th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),"NOV 07-10, 2020",ELECTR NETWORK,"Cathol Univ Pernambuco, Digital Games Course,Fed Univ Pernambuco, Ctr Informat,Unity,Unreal Engine,Recife Ctr Adv Studies & Syst",,,,,,,,,,,,,,,,,,,,,,,2159-6654,2159-6662,978-1-7281-8432-6,,,,2020,,,,,,,136,144,,10.1109/SBGames51465.2020.00027,http://dx.doi.org/10.1109/SBGames51465.2020.00027,,,,,,,,,,,,,WOS:000904725100016,View Full Record in Web of Science
C,"Lazaridis, L; Kollias, KF; Maraslidis, G; Michailidis, H; Papatsimouli, M; Fragulis, GF",,"Fang, X",,"Lazaridis, Lazaros; Kollias, Konstantinos-Filippos; Maraslidis, George; Michailidis, Heraklis; Papatsimouli, Maria; Fragulis, George F.",,,Auto Generating Maps in a 2D Environment,"HCI IN GAMES, HCI-GAMES 2022",Lecture Notes in Computer Science,,,,4th International Conference on HCI in Games Held as Part of the 24th International Conference on Human-Computer Interaction (HCII),"JUN 26-JUL 01, 2022",ELECTR NETWORK,,,,,,,,,,"Fragulis, George/G-7566-2014","Fragulis, George/0000-0002-8961-7423; Lazaridis, Lazaros/0000-0002-9538-4566; Michailidis, Heracles/0000-0002-4032-2480; Kollias, Konstantinos-Filippos/0000-0002-3300-5372",,,,,,,,,,,,,0302-9743,1611-3349,978-3-031-05637-6; 978-3-031-05636-9,,,,2022,13334,,,,,,40,50,,10.1007/978-3-031-05637-6_3,http://dx.doi.org/10.1007/978-3-031-05637-6_3,,,,,,,,,,,,,WOS:000876927900003,View Full Record in Web of Science
J,"Lamers, MH; van Eck, WJOM",,,,"Lamers, Maarten H.; van Eck, Wim J. O. M.",,,Microbial Content Generation for Natural Terrains in Computer Games,FRONTIERS IN COMPUTER SCIENCE,,,,,,,,,,,,,,,,,,"Lamers, Maarten/0000-0003-2672-5475",,,,,,,,,,,,,,2624-9898,,,,APR 8,2022,4,,,,,,,,826412,10.3389/fcomp.2022.826412,http://dx.doi.org/10.3389/fcomp.2022.826412,,,,,,,,,,,,,WOS:000807662400001,View Full Record in Web of Science
C,"Young, JC; Saptawijaya, A",,,IEEE,"Young, Julio Christian; Saptawijaya, Ari",,,Incremental Inductive Learning of Answer Set Programs for Maps Generation Problems,2019 11TH INTERNATIONAL CONFERENCE ON ADVANCED COMPUTER SCIENCE AND INFORMATION SYSTEMS (ICACSIS 2019),International Conference on Advanced Computer Science and Information Systems-ICACSIS,,,,11th International Conference on Advanced Computer Science and Information Systems (ICACSIS),"OCT 12-13, 2019","STMIK Primakara, Bali, INDONESIA","Univ Indonesia, Fac Comp Sci,IEEE Indonesia Sect",STMIK Primakara,,,,,,,,"Saptawijaya, Ari/GOP-2523-2022","Saptawijaya, Ari/0000-0002-5864-8673",,,,,,,,,,,,,2330-4588,2473-7186,978-1-7281-5292-9,,,,2019,,,,,,,483,488,,,,,,,,,,,,,,,,WOS:000542028400075,View Full Record in Web of Science
J,"Cook, M; Gow, J; Smith, G; Colton, S",,,,"Cook, Michael; Gow, Jeremy; Smith, Gillian; Colton, Simon",,,Danesh: Interactive Tools for Understanding Procedural Content Generators,IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,,"Smith, Gillian/0000-0002-2765-7702",,,,,,,,,,,,,2475-1502,2475-1510,,,,SEP,2022,14,3,,,,,329,338,,10.1109/TG.2021.3078323,http://dx.doi.org/10.1109/TG.2021.3078323,,,,,,,,,,,,,WOS:000853840900004,View Full Record in Web of Science
C,"Mora, C; Jardim, S; Valente, J",,"Rocha, A; Goncalves, R; Penalvo, FG; Martins, J",,"Mora, Carlos; Jardim, Sandra; Valente, Jorge",,,Flora Generation and Evolution Algorithm for Virtual Environments,PROCEEDINGS OF 2021 16TH IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES (CISTI'2021),Iberian Conference on Information Systems and Technologies,,,,16th Iberian Conference on Information Systems and Technologies (CISTI),"JUN 23-26, 2021",ELECTR NETWORK,"Iberian Assoc Informat Syst & Technologies,AquaValor Res Ctr,IEEE SMC, Portuguese Chapter,IEEE Portugal Sect,IEEE SMC Spain Chapter,IEEE SMC France Chapter,IEEE SMC Italy Chapter",,,,,,,,,,"Mora, Carlos/0000-0001-8083-1821; Valente, Jorge/0000-0002-4830-6143",,,,,,,,,,,,,2166-0727,,978-989-54659-1-0,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,WOS:000824588500176,View Full Record in Web of Science
J,"El-Habr, C; Garcia, X; Paliyawan, P; Thawonmas, R",,,,"El-Habr, Camille; Garcia, Xavier; Paliyawan, Pujana; Thawonmas, Ruck",,,Runner: A 2D platform game for physical health promotion,SOFTWAREX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352-7110,,,,,JUL-DEC,2019,10,,,,,,,,100329,10.1016/j.softx.2019.100329,http://dx.doi.org/10.1016/j.softx.2019.100329,,,,,,,,,,,,,WOS:000504065000053,View Full Record in Web of Science
C,"Jiang, ZY; Sweetser, P",,"Long, G; Yu, X; Wang, S",,"Jiang, Zhouyang; Sweetser, Penny",,,GAN-Assisted YUV Pixel Art Generation,AI 2021: ADVANCES IN ARTIFICIAL INTELLIGENCE,Lecture Notes in Artificial Intelligence,,,,34th Australasian Joint Conference on Artificial Intelligence (AI),"FEB 02-04, 2022","Univ Technol Sydney, ELECTR NETWORK","Australian Comp Soc, Natl Comm Artificial Intelligence,Univ New S Wales,Royal Melbourne Inst Technol,CSRIO, Data61,Business Events Sydney,Finity",Univ Technol Sydney,,,,,,,,,,,,,,,,,,,,,,0302-9743,1611-3349,978-3-030-97546-3; 978-3-030-97545-6,,,,2022,13151,,,,,,595,606,,10.1007/978-3-030-97546-3_48,http://dx.doi.org/10.1007/978-3-030-97546-3_48,,,,,,,,,,,,,WOS:000787242700048,View Full Record in Web of Science
C,"Franco, AOR; Franco, W; Maia, JGR; Franklin, M",,,IEEE,"Franco, Artur O. R.; Franco, Wellington; Maia, Jose G. R.; Franklin, Miguel",,,Generating Rooms using Generative Grammars and Genetic Algorithms,2022 21ST BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES),,,,,21st Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),"OCT 24-27, 2022","Natal, BRAZIL","Natalnet Associate Labs,Fed Univ Rio Grande Norte,Brazilian Comp Soc,CNPq,CAPES,IEEE,IEEE NE Brazil RAS CS Joint Chapter",,,,,,,,,,,,,,,,,,,,,,,,,978-1-6654-6156-6,,,,2022,,,,,,,31,36,,10.1109/SBGAMES56371.2022.9961112,http://dx.doi.org/10.1109/SBGAMES56371.2022.9961112,,,,,,,,,,,,,WOS:000903487100006,View Full Record in Web of Science
C,"Grichshenko, A; de Araujo, LJP; Gimaeva, S; Brown, JA",,,ACM,"Grichshenko, Alexandr; de Araujo, Luiz Jonata Pires; Gimaeva, Susanna; Brown, Joseph Alexander",,,Using Tabu Search Algorithm for Map Generation in the Terra Mystica Tabletop Game,"2020 4TH INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS, METAHEURISTICS & SWARM INTELLIGENCE (ISMSI 2020)",,,,,"4th International Conference on Intelligent Systems, Metaheuristics and Swarm Intelligence (ISMSI) / India International Congress on Computational Intelligence (IICCI)","APR 18-19, 2020","Thimphu, BHUTAN",,,,,,,,,,,"Pires de Araujo, Luiz Jonata/0000-0001-7450-7945",,,,,,,,,,,,,,,978-1-4503-7761-4,,,,2020,,,,,,,119,122,,10.1145/3396474.3396492,http://dx.doi.org/10.1145/3396474.3396492,,,,,,,,,,,,,WOS:000632786900021,View Full Record in Web of Science
C,"Bernardi, A; Gadia, D; Maggiorini, D; Ripamonti, LA",,"Grigg, R",,"Bernardi, Alessio; Gadia, Davide; Maggiorini, Dario; Ripamonti, Laura Anna",,,USING A GENETIC ALGORITHM FOR THE PROCEDURAL GENERATION OF LAYERED MATERIALS FOR REAL-TIME RENDERING,20TH INTERNATIONAL CONFERENCE ON INTELLIGENT GAMES AND SIMULATION (GAME-ON 2019),,,,,20th International Conference on Intelligent Games and Simulation (GAME-ON),"SEP 18-20, 2019","Breda Univ Appl Sci, Breda, NETHERLANDS","ETI,EUROSIS,Ghent Univ,Univ Skovde,Univ Zilina,GODAN",Breda Univ Appl Sci,,,,,,,,"Ripamonti, Laura Anna/GQH-8599-2022; Gadia, Davide/P-6309-2016","Gadia, Davide/0000-0003-4491-9150",,,,,,,,,,,,,,,978-94-92859-08-2,,,,2019,,,,,,,29,36,,,,,,,,,,,,,,,,WOS:000589699100004,View Full Record in Web of Science
J,"Capasso-Ballesteros, IF; De La Rosa-Rosero, F",,,,"Felipe Capasso-Ballesteros, Italo; De La Rosa-Rosero, Fernando",,,Semi-automatic construction of video game design prototypes with MaruGen,REVISTA FACULTAD DE INGENIERIA-UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,,,,,,"De la Rosa-Rosero, Fernando/0000-0002-9066-7225",,,,,,,,,,,,,0120-6230,2422-2844,,,,APR-JUN,2021,,99,,,,,9,20,,10.17533/udea.redin.20200369,http://dx.doi.org/10.17533/udea.redin.20200369,,,,,,,,,,,,,WOS:000624584400002,View Full Record in Web of Science
C,"Miller, H; Dighe, M; Martens, C; Jhala, A",,"Bosser, AG; Millard, DE; Hargood, C",,"Miller, Hris; Dighe, Mayank; Martens, Chris; Jhala, Arnav",,,Crafting Interactive Narrative Games with Adversarial Planning Agents from Simulations,"INTERACTIVE STORYTELLING, ICIDS 2020",Lecture Notes in Computer Science,,,,13th International Conference on Interactive Digital Storytelling,"NOV 03-06, 2020","Bournemouth, ENGLAND",,,,,,,,,,,"Martens, Chris/0000-0002-7026-0348",,,,,,,,,,,,,0302-9743,1611-3349,978-3-030-62515-3; 978-3-030-62516-0,,,,2020,12497,,,,,,44,57,,10.1007/978-3-030-62516-0_4,http://dx.doi.org/10.1007/978-3-030-62516-0_4,,,,,,,,,,,,,WOS:000927883400004,View Full Record in Web of Science
J,"Bernardi, A; Gadia, D; Maggiorini, D; Palazzi, CE; Ripamonti, LA",,,,"Bernardi, Alessio; Gadia, Davide; Maggiorini, Dario; Palazzi, Claudio Enrico; Ripamonti, Laura Anna",,,Procedural generation of materials for real-time rendering,MULTIMEDIA TOOLS AND APPLICATIONS,,,,,,,,,,,,,,,,,"Ripamonti, Laura Anna/GQH-8599-2022; Gadia, Davide/P-6309-2016","Gadia, Davide/0000-0003-4491-9150; Maggiorini, Dario/0000-0002-7460-2966",,,,,,,,,,,,,1380-7501,1573-7721,,,,APR,2021,80,9,,,,,12969,12990,,10.1007/s11042-020-09141-9,http://dx.doi.org/10.1007/s11042-020-09141-9,,JUL 2020,,,,,,,,,,,WOS:000548791400003,View Full Record in Web of Science
C,"Du, Y; Li, J; Hou, X; Lu, HT; Liu, SC; Guo, XH; Yang, KH; Tang, QT",,"Xu, B",,"Du, Yu; Li, Jian; Hou, Xiao; Lu, Hengtong; Liu, Simon Cheng; Guo, Xianghao; Yang, Kehan; Tang, Qinting",,,Automatic level Generation for Tower Defense Games,"PROCEEDINGS OF 2019 IEEE 3RD INFORMATION TECHNOLOGY, NETWORKING, ELECTRONIC AND AUTOMATION CONTROL CONFERENCE (ITNEC 2019)",,,,,"IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)","MAR 15-17, 2019","Chengdu, PEOPLES R CHINA","IEEE Beijing Sect,Global Union Acad Sci & Technol,Chongqing Global Union Acad Sci & Technol,Chengdu Global Union Acad Sci & Technol,Chongqing Geeks Educ Technol Co Ltd,IEEE",,,,,,,,,,,,,,,,,,,,,,,,,978-1-5386-6243-4,,,,2019,,,,,,,670,676,,,,,,,,,,,,,,,,WOS:000491352900130,View Full Record in Web of Science
C,"Wu, ZH; Lai, K; Lin, LA; Huang, MH; Tai, WK",,,IEEE,"Wu, Zong-Han; Lai, Kevin; Lin, Li-An; Huang, Ming-Han; Tai, Wen-Kai",,,Procedurally Generating Game Level with Specified Difficulty,"2018 IEEE GAMES, ENTERTAINMENT, MEDIA CONFERENCE (GEM)",,,,,"IEEE Games, Entertainment, Media Conference (GEM)","AUG 15-17, 2018","Galway, IRELAND",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,978-1-5386-6304-2,,,,2018,,,,,,,71,78,,,,,,,,,,,,,,,,WOS:000455103600015,View Full Record in Web of Science
J,"Ripamonti, LA; Distefano, F; Trubian, M; Maggiorini, D; Gadia, D",,,,"Ripamonti, Laura Anna; Distefano, Federico; Trubian, Marco; Maggiorini, Dario; Gadia, Davide",,,DRAGON: diversity regulated adaptive generator online,MULTIMEDIA TOOLS AND APPLICATIONS,,,,,,,,,,,,,,,,,"Ripamonti, Laura Anna/GQH-8599-2022; Gadia, Davide/P-6309-2016","Gadia, Davide/0000-0003-4491-9150; Maggiorini, Dario/0000-0002-7460-2966; /0000-0001-8167-7870; TRUBIAN, MARCO/0000-0002-3523-817X",,,,,,,,,,,,,1380-7501,1573-7721,,,,NOV,2021,80,26-27,,,,,34933,34969,,10.1007/s11042-021-10620-w,http://dx.doi.org/10.1007/s11042-021-10620-w,,MAR 2021,,,,,,,,,,,WOS:000631790800003,View Full Record in Web of Science
C,"Khalifa, A; Green, MC; Barros, G; Togelius, J",,"LopezIbanez, M",,"Khalifa, Ahmed; Green, Michael Cerny; Barros, Gabriella; Togelius, Julian",,,Intentional Computational Level Design,PROCEEDINGS OF THE 2019 GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE (GECCO'19),,,,,Genetic and Evolutionary Computation Conference (GECCO),"JUL 13-17, 2019","Prague, CZECH REPUBLIC","Assoc Comp Machinery,Assoc Comp Machinery, Special Interest Grp Genet & Evolutionary Computat",,,,,,,,,"Green, Michael Cerny/AAH-6806-2021","Green, Michael Cerny/0000-0003-3366-8165; Khalifa, Ahmed/0000-0002-7839-9432; Togelius, Julian/0000-0003-3128-4598",,,,,,,,,,,,,,,978-1-4503-6111-8,,,,2019,,,,,,,796,803,,10.1145/3321707.3321849,http://dx.doi.org/10.1145/3321707.3321849,,,,,,,,,,,,,WOS:000523218400094,View Full Record in Web of Science
C,"Oikawa, T; Hsueh, CH; Ikeda, K",,"Cazenave, T; VanDenHerik, J; Saffidine, A; Wu, IC",,"Oikawa, Taishi; Hsueh, Chu-Hsuan; Ikeda, Kokolo",,,Improving Human Players' T-Spin Skills in Tetris with Procedural Problem Generation,"ADVANCES IN COMPUTER GAMES, ACG 2019",Lecture Notes in Computer Science,,,,16th International Conference on Advances in Computer Games (ACG),"AUG 11-13, 2019","Macao, PEOPLES R CHINA",,,,,,,,,,,,,,,,,,,,,,,,0302-9743,1611-3349,978-3-030-65882-3; 978-3-030-65883-0,,,,2020,12516,,,,,,41,52,,10.1007/978-3-030-65883-0_4,http://dx.doi.org/10.1007/978-3-030-65883-0_4,,,,,,,,,,,,,WOS:000894264800004,View Full Record in Web of Science
C,"Nielsen, TL; Rafferty, EI; Schoenau-Fog, H; Palamas, G",,"Bosser, AG; Millard, DE; Hargood, C",,"Nielsen, Thomas Lund; Rafferty, Eoin Ivan; Schoenau-Fog, Henrik; Palamas, George",,,Embedded Narratives in Procedurally Generated Environments,"INTERACTIVE STORYTELLING, ICIDS 2020",Lecture Notes in Computer Science,,,,13th International Conference on Interactive Digital Storytelling,"NOV 03-06, 2020","Bournemouth, ENGLAND",,,,,,,,,,,"Palamas, George/0000-0001-6520-4221; Fog, Henrik Schonau/0000-0001-6961-157X",,,,,,,,,,,,,0302-9743,1611-3349,978-3-030-62515-3; 978-3-030-62516-0,,,,2020,12497,,,,,,30,43,,10.1007/978-3-030-62516-0_3,http://dx.doi.org/10.1007/978-3-030-62516-0_3,,,,,,,,,,,,,WOS:000927883400003,View Full Record in Web of Science
C,"Catarino, J; Martinho, C",,,IEEE,"Catarino, Joao; Martinho, Carlos",,,Procedural Progression Model for Smash Time,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,"Catarino, Joao/GVS-3764-2022","Catarino, Joao/0000-0002-6159-6093",,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300150,View Full Record in Web of Science
C,"Hollingsworth, B; Schrum, J",,,IEEE,"Hollingsworth, Bryan; Schrum, Jacob",,,Infinite Art Gallery: A Game World of Interactively Evolved Artwork,2019 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC),IEEE Congress on Evolutionary Computation,,,,IEEE Congress on Evolutionary Computation (IEEE CEC),"JUN 10-13, 2019","Wellington, NEW ZEALAND","IEEE,IEEE CIS,Victoria Univ Wellington,Tourism New Zealand,Facebook,YiXue Educ,ONRG",,,,,,,,,"Schrum, Jacob/AAI-6305-2020",,,,,,,,,,,,,,,,978-1-7281-2153-6,,,,2019,,,,,,,474,481,,,,,,,,,,,,,,,,WOS:000502087100064,View Full Record in Web of Science
C,"Nam, S; Ikeda, K",,,IEEE,"Nam, SangGyu; Ikeda, Kokolo",,,Generation of Diverse Stages in Turn-Based RolePlaying Game using Reinforcement Learning,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300144,View Full Record in Web of Science
